14-07-2023 10:50:47 :: Abrindo URL
14-07-2023 10:51:03 :: Iniciando a coleta
14-07-2023 10:51:03 :: ADD - {'position': '1', 'movie': 'Um Sonho de Liberdade', 'year': '1994', 'duration': '2h 22m', 'rating': '16', 'rate': '9.3', 'history_id': 11}
14-07-2023 10:51:03 :: ADD - {'position': '2', 'movie': 'O Poderoso Chefão', 'year': '1972', 'duration': '2h 55m', 'rating': '14', 'rate': '9.2', 'history_id': 11}
14-07-2023 10:51:03 :: ADD - {'position': '3', 'movie': 'Batman: O Cavaleiro das Trevas', 'year': '2008', 'duration': '2h 32m', 'rating': '12', 'rate': '9.0', 'history_id': 11}
14-07-2023 10:51:03 :: ADD - {'position': '4', 'movie': 'O Poderoso Chefão II', 'year': '1974', 'duration': '3h 22m', 'rating': '14', 'rate': '9.0', 'history_id': 11}
14-07-2023 10:51:03 :: ADD - {'position': '5', 'movie': '12 Homens e uma Sentença', 'year': '1957', 'duration': '1h 36m', 'rating': 'Livre', 'rate': '9.0', 'history_id': 11}
14-07-2023 10:51:04 :: ADD - {'position': '6', 'movie': 'A Lista de Schindler', 'year': '1993', 'duration': '3h 15m', 'rating': '14', 'rate': '9.0', 'history_id': 11}
14-07-2023 10:51:04 :: ADD - {'position': '7', 'movie': 'O Senhor dos Anéis: O Retorno do Rei', 'year': '2003', 'duration': '3h 21m', 'rating': '14', 'rate': '9.0', 'history_id': 11}
14-07-2023 10:51:04 :: ADD - {'position': '8', 'movie': 'Pulp Fiction - Tempo de Violência', 'year': '1994', 'duration': '2h 34m', 'rating': '18', 'rate': '8.9', 'history_id': 11}
14-07-2023 10:51:04 :: ADD - {'position': '9', 'movie': 'O Senhor dos Anéis: A Sociedade do Anel', 'year': '2001', 'duration': '2h 58m', 'rating': '12', 'rate': '8.8', 'history_id': 11}
14-07-2023 10:51:04 :: ADD - {'position': '10', 'movie': 'Três Homens em Conflito', 'year': '1966', 'duration': '2h 41m', 'rating': '14', 'rate': '8.8', 'history_id': 11}
14-07-2023 10:51:04 :: ADD - {'position': '11', 'movie': 'Forrest Gump: O Contador de Histórias', 'year': '1994', 'duration': '2h 22m', 'rating': '14', 'rate': '8.8', 'history_id': 11}
14-07-2023 10:51:04 :: ADD - {'position': '12', 'movie': 'Clube da Luta', 'year': '1999', 'duration': '2h 19m', 'rating': '18', 'rate': '8.8', 'history_id': 11}
14-07-2023 10:51:04 :: ADD - {'position': '13', 'movie': 'Homem-Aranha: Através do Aranhaverso', 'year': '2023', 'duration': '2h 20m', 'rating': '10', 'rate': '8.9', 'history_id': 11}
14-07-2023 10:51:05 :: ADD - {'position': '14', 'movie': 'O Senhor dos Anéis: As Duas Torres', 'year': '2002', 'duration': '2h 59m', 'rating': '12', 'rate': '8.8', 'history_id': 11}
14-07-2023 10:51:05 :: ADD - {'position': '15', 'movie': 'A Origem', 'year': '2010', 'duration': '2h 28m', 'rating': '14', 'rate': '8.8', 'history_id': 11}
14-07-2023 10:51:05 :: ADD - {'position': '16', 'movie': 'Star Wars: Episódio V - O Império Contra-Ataca', 'year': '1980', 'duration': '2h 4m', 'rating': 'Livre', 'rate': '8.7', 'history_id': 11}
14-07-2023 10:51:05 :: ADD - {'position': '17', 'movie': 'Matrix', 'year': '1999', 'duration': '2h 16m', 'rating': '14', 'rate': '8.7', 'history_id': 11}
14-07-2023 10:51:05 :: ADD - {'position': '18', 'movie': 'Os Bons Companheiros', 'year': '1990', 'duration': '2h 25m', 'rating': '14', 'rate': '8.7', 'history_id': 11}
14-07-2023 10:51:05 :: ADD - {'position': '19', 'movie': 'Um Estranho no Ninho', 'year': '1975', 'duration': '2h 13m', 'rating': '16', 'rate': '8.7', 'history_id': 11}
14-07-2023 10:51:05 :: ADD - {'position': '20', 'movie': 'Seven: Os Sete Crimes Capitais', 'year': '1995', 'duration': '2h 7m', 'rating': '14', 'rate': '8.6', 'history_id': 11}
14-07-2023 10:51:05 :: ADD - {'position': '21', 'movie': 'A Felicidade Não se Compra', 'year': '1946', 'duration': '2h 10m', 'rating': 'Livre', 'rate': '8.6', 'history_id': 11}
